Series Id,PCU325212325212P,PCU325211325211,PCU332618332618,PCU3251803251806,Source_File,Data_Source,Generated_At
Series Title,"PPI industry data for Synthetic rubber manufacturing-Primary products, not seasonally adjusted","PPI industry data for Plastics material and resin manufacturing, not seasonally adjusted","PPI industry data for Other fabricated wire product mfg, not seasonally adjusted","PPI industry data for Other basic inorganic chemical manufacturing-Carbon black, all processes, not seasonally adjusted",combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
Industry,Synthetic rubber manufacturing,Plastics material and resin manufacturing,Other fabricated wire product mfg,Other basic inorganic chemical manufacturing,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
Product,Primary products,Plastics material and resin manufacturing,Other fabricated wire product mfg,"Carbon black, all processes",combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
Base Date,198106,198012,198212,198312,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
Years,2015 to 2025,2015 to 2025,2015 to 2025,2015 to 2025,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
Date,PCU325212325212P - Primary products,PCU325211325211 - Plastics material and resin manufacturing,PCU332618332618 - Other fabricated wire product mfg,"PCU3251803251806 - Carbon black, all processes",combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
2015M01,226.5,285.4,226.8,299.6,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
2015M02,214.5,280.8,226.7,269.4,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
2015M03,211.9,274,226.5,282.3,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
2015M04,210.8,273.2,226.6,279.3,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
2015M05,210.2,274.1,226.6,282.3,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
2015M06,214.6,275.6,227.1,290.6,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
2015M07,218.8,273.8,226.8,290.2,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
2015M08,217.3,270.7,226.8,283.3,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
2015M09,218.2,264.5,226.7,286.8,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
2015M10,215.7,261.4,226.9,285.8,combined_data.xlsx,BLS Data Scraper,2025-07-02 10:27:31
